PARID,f_drivable,f_walkable,f_diverse,f_biketodest,f_biketojob,f_amendities,f_dense,f_built_nature
0276L00020000000,-0.7282277688818627,-0.37100645506561,0.47528951835341654,-0.39060098308253094,-0.1449075430017142,-0.47036140020509526,-0.6475261084514335,0.04510766909478798
0712M00028000000,-0.8337705702935905,-0.28162510706253674,1.203274295993734,-0.8025716314767719,-0.4756057739727121,-0.8310110254608609,-0.6782616336581828,1.3192524598189845
1067L00061000000,-0.8121142281693753,-0.29935167530978574,1.3080037367100767,-0.7470032116104147,-0.7419793524248753,-0.6356585268632748,-0.6167509357463029,0.01865304492240477
1067R00212000000,-0.7959073894957209,-0.303104409887978,1.0520892908003239,-0.65840010830911,-0.7484800671921572,-0.624726483271759,-0.4985307253866432,-0.049699827669653945
1067G00046000000,-0.8503455194221385,-0.3119150773124913,1.426733243759939,-0.8468310502594191,-0.7191280425857738,-0.6475657484534629,-0.5100249630296292,0.677701269773231
0214H00211000000,-0.7871628607888239,-0.4165992676517954,0.3203500454629153,-0.04427465486756688,0.04152429541956756,-0.35288991851493257,-0.1469872866702737,-0.3803189699690586
1345L00362180400,-0.258334303432004,-0.26479020615254945,0.8163463128431204,-0.8594788026304531,-0.5092460385708731,-0.4754525417284585,-0.42414479244750425,0.17978022758790735
1069G00364000000,-0.8076027395392448,-0.25554267846797063,1.280650153997388,-0.9550680315303229,-0.5574048216453589,-0.7276160168317137,-0.4924454744577915,0.41612036030424626
0822S00385000000,-0.8978474587989217,-0.27622210078373216,1.3344572147463287,-0.8953167716250008,-0.5521265889127244,-0.5954903883915126,-0.8912807912257796,0.8521596443017143
0712A00214000000,-0.8033113343679433,-0.25366761008597805,1.2088912174170856,-0.809728026301166,-0.5202715111860791,-0.8220614794734017,-0.5126744117382023,0.6510877216620093
0609A00170000000,-0.9369451712770025,-0.30853944161196095,1.275366624046489,-0.8838277244136067,-0.452513489713528,-0.7709800559552509,-0.7445681463250593,0.5557110010977135
0823N00068000000,-0.814315237879644,-0.2557166416865599,1.281765979244753,-0.801520080067358,-0.5301067106570981,-0.8029239560722091,-0.5753072078544931,0.7866849491430905
0590H00009000000,-0.7746242854180317,-0.3262694166065986,0.7989989811133297,-0.8328334924326626,-0.34018203457719876,-0.5519302832761325,0.22426768361196808,0.3781278807950167
0065D00046000000,0.20016357594718412,-0.2467504978728238,0.7024719217739751,-0.4707790632715896,0.03457271088029086,-0.46738756274160564,1.7791618191807828,1.0916442465362015
0140S00286000000,-0.5940143988109743,-0.5296065496974447,0.6328242112972183,0.7140232873056612,0.7758949656693065,-0.3575854157928336,1.398738912287697,0.41862297105425117
0704M00277000000,-0.5101798810437299,-0.08442065239820261,0.37152927740499175,-0.32618725268687193,-0.5213607042577073,0.04760131584402573,-1.0851822079694515,0.4246313680725434
0190C00128000000,-0.03523357924404958,-0.40182085508500043,0.19413241513452853,0.22684934927940367,0.2348170113407873,0.07169020934188519,1.2430090524538722,0.692294211019436
0061P00034000100,1.0187914439145858,-0.3702836584589578,0.2626649233854641,0.3432624191202179,-0.14357360542743605,-0.13444900680911398,2.27788405304375,1.1403213488520108
0066F00198000A00,0.493471591029468,-0.2322229842623371,-0.3493121816000843,0.06970323824450701,-0.06923287283679946,-0.08986122250893476,-0.008088890162614042,-1.9375945629714528
0455L00026000000,-0.0500897278784506,-0.1498629238552241,-1.2233207344286863,0.8801270449352219,-0.5739642759480504,-0.05679756420656204,-0.5834829303526146,0.22588284164534875
